Name,Platform,Genre,Release,Publisher,NA_Sales,JP_Sales,Critic_Score,Critic_Count,Developer,User_Score,User_Count
Tourist Trophy: The Real Riding Simulator,PS2,Racing,2006.0,Sony Computer Entertainment,28,11,nan,nan,nan,nan,nan
Shinobi,PS2,Platform,2002.0,Sony Computer Entertainment,36,22,71.0,33.0,Overworks,7.9,43.0
Romance of the Three Kingdoms VII,PS2,Strategy,2000.0,Tecmo Koei,8,16,72.0,10.0,Koei,8.7,11.0
Ace Combat 5: The Unsung War,PS2,Simulation,2004.0,Sony Computer Entertainment Europe,88,32,84.0,57.0,Namco,9.1,81.0
Shin Megami Tensei: Persona 4,PS2,Role-Playing,2008.0,Atlus,34,36,90.0,47.0,Atlus Co.,8.9,634.0
Ape Escape 2,PS2,Platform,2002.0,Sony Computer Entertainment,12,38,82.0,31.0,SCE Japan Studio,8.4,32.0
Shadow of the Colossus,PS2,Action,2005.0,Sony Computer Entertainment,78,20,91.0,77.0,SCE Japan Studio,9.1,933.0
Marvel vs. Capcom Origins,PS2,Fighting,2006.0,Capcom,11,2,nan,nan,nan,nan,nan
Dead or Alive 2,PS2,Fighting,2000.0,Tecmo Koei,30,38,nan,nan,nan,nan,nan
Kessen II,PS2,Strategy,2001.0,THQ,13,20,71.0,15.0,Koei,8.3,22.0
Extermination,PS2,Action,2001.0,Sony Computer Entertainment,21,12,67.0,19.0,Deep Space,7.8,19.0
Tokyo Xtreme Racer Zero,PS2,Racing,2000.0,Crave Entertainment,66,15,76.0,15.0,Genki,8.9,64.0
.hack//Outbreak Part 3,PS2,Role-Playing,2002.0,Atari,14,17,70.0,23.0,CyberConnect2,8.7,19.0
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,2007.0,Atari,114,76,73.0,24.0,"Spike, Namco Bandai Games",9.2,173.0
Grand Theft Auto: Vice City Stories,PS2,Action,2007.0,Take-Two Interactive,78,3,75.0,37.0,Rockstar Leeds,7.9,67.0
Monster Rancher 4,PS2,Simulation,2003.0,Tecmo Koei,8,19,77.0,21.0,Tecmo,9.1,18.0
Romance of the Three Kingdoms VIII,PS2,Strategy,2002.0,Tecmo Koei,5,19,77.0,14.0,Koei,8.9,17.0
Kingdom Hearts,PS2,Role-Playing,2002.0,Sony Computer Entertainment,364,149,85.0,46.0,SquareSoft,8.8,597.0
Gran Turismo 4,PS2,Racing,2004.0,Sony Computer Entertainment,301,110,89.0,74.0,Polyphony Digital,8.5,272.0
Devil May Cry,PS2,Action,2001.0,Capcom,136,64,94.0,37.0,Capcom,8.5,466.0
Final Fantasy XI: Treasures of Aht Urhgan,PS2,Role-Playing,2006.0,Square Enix,6,10,87.0,4.0,Square Enix,7.1,13.0
WWE SmackDown! vs. RAW 2006,PS2,Fighting,2005.0,THQ,145,4,nan,nan,nan,nan,nan
Grand Theft Auto III,PS2,Action,2001.0,Take-Two Interactive,699,30,97.0,56.0,DMA Design,8.5,664.0
Star Wars: Battlefront,PS2,Shooter,2004.0,LucasArts,193,3,82.0,36.0,Pandemic Studios,8.7,142.0
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,2004.0,Square Enix,65,361,89.0,63.0,Level 5,8.8,245.0
Valkyrie Profile 2: Silmeria,PS2,Role-Playing,2006.0,Square Enix,4,39,84.0,45.0,Tri-Ace,9,59.0
Dynasty Warriors 5,PS2,Action,2005.0,Tecmo Koei,24,91,69.0,29.0,Omega Force,8.8,68.0
Tsugunai: Atonement,PS2,Role-Playing,2001.0,Sony Computer Entertainment,2,2,67.0,13.0,Cattle Call,tbd,nan
Dynasty Warriors 3,PS2,Action,2001.0,THQ,53,107,78.0,17.0,Omega Force,9.1,90.0
Hot Shots Golf 3,PS2,Sports,2001.0,Sony Computer Entertainment,99,138,85.0,30.0,Clap Hanz,8.9,16.0
Dynasty Warriors 5 Empires,PS2,Action,2006.0,Tecmo Koei,11,12,62.0,23.0,Omega Force,9.1,24.0
Shin Megami Tensei: Persona 3 FES,PS2,Role-Playing,2007.0,Tecmo Koei,22,16,89.0,25.0,Atlus Co.,8.3,296.0
Lupin the 3rd: Treasure of the Sorcerer King,PS2,Adventure,2002.0,505 Games,2,25,67.0,16.0,Banpresto,tbd,nan
Driver: Parallel Lines,PS2,Racing,2006.0,Atari,12,3,69.0,41.0,Reflections Interactive,6.9,74.0
Odin Sphere,PS2,Role-Playing,2007.0,Square Enix,23,9,83.0,49.0,Vanilla Ware,8.6,59.0
Forever Kingdom,PS2,Role-Playing,2001.0,From Software,2,4,64.0,13.0,From Software,7.8,6.0
BlazBlue: Chrono Phantasma,PS3,Fighting,2013.0,Arc System Works,14,14,83.0,16.0,Arc System Works,8.3,64.0
Split/Second,PS3,Racing,2010.0,Disney Interactive Studios,31,1,nan,nan,nan,nan,nan
Armored Core 4,PS3,Simulation,2006.0,505 Games,9,9,65.0,36.0,From Software,6.8,25.0
Resistance 2,PS3,Shooter,2008.0,Sony Computer Entertainment,114,10,87.0,79.0,Insomniac Games,6.1,1889.0
Cross Edge,PS3,Role-Playing,2008.0,Nippon Ichi Software,14,5,52.0,32.0,Compile Heart,7.2,82.0
Ninja Gaiden 3,PS3,Action,2012.0,Tecmo Koei,19,11,58.0,43.0,Team Ninja,5,152.0
XBLAZE Code: Embryo,PS3,Adventure,2013.0,Arc System Works,2,1,nan,nan,Arc System Works,7.1,14.0
WWE SmackDown vs. Raw 2010,PS3,Fighting,2009.0,THQ,48,1,81.0,38.0,Yuke's,8.1,55.0
The Legend of Heroes: Trails of Cold Steel,PS3,Role-Playing,2013.0,Nippon Ichi Software,5,12,86.0,12.0,Falcom,7.7,128.0
God of War: Origins Collection,PS3,Action,2011.0,Sony Computer Entertainment,39,2,84.0,58.0,Ready at Dawn,8.4,208.0
Uncharted 3: Drake's Deception,PS3,Action,2011.0,Sony Computer Entertainment,277,19,92.0,97.0,Naughty Dog,8.3,3712.0
The King of Fighters XII,PS3,Fighting,2009.0,Ignition Entertainment,11,3,57.0,48.0,SNK Playmore,5.3,46.0
Dynasty Warriors 8,PS3,Action,2013.0,Tecmo Koei,12,34,68.0,26.0,Omega Force,8.5,75.0
Sonic Generations,PS3,Platform,2011.0,Sega,60,2,76.0,38.0,Sega,8.2,253.0
Midnight Club: Los Angeles,PS3,Racing,2008.0,Take-Two Interactive,156,5,82.0,50.0,Rockstar San Diego,8.2,100.0
Darksiders II,PS3,Action,2012.0,THQ,35,1,84.0,39.0,Vigil Games,7.1,422.0
Sports Champions,PS3,Sports,2010.0,Sony Computer Entertainment,213,10,76.0,64.0,"SCEA, Zindagi Games",7.9,104.0
Sleeping Dogs,PS3,Action,2012.0,Square Enix,31,5,83.0,40.0,United Front Games,7.7,645.0
Street Fighter X Tekken,PS3,Fighting,2012.0,Capcom,42,10,84.0,51.0,Capcom,5.3,191.0
White Knight Chronicles: International Edition,PS3,Role-Playing,2008.0,Sony Computer Entertainment,33,36,64.0,77.0,Level 5,7.5,213.0
Beijing 2008,PS3,Sports,2008.0,Sega,14,1,nan,nan,nan,nan,nan
Dead Rising 2: Off the Record,PS3,Action,2011.0,Capcom,11,10,72.0,31.0,Capcom Vancouver,7.1,35.0
Dynasty Warriors 7,PS3,Action,2011.0,Tecmo Koei,25,46,57.0,25.0,Omega Force,7.4,57.0
Virtua Tennis 3,PS3,Sports,2007.0,Sega,23,3,80.0,35.0,Sega AM3,7.9,32.0
Dungeon Siege III,PS3,Role-Playing,2011.0,Square Enix,17,3,71.0,52.0,Obsidian Entertainment,6.3,86.0
Way of the Samurai 3,PS3,Action,2008.0,Gamebridge,18,22,58.0,18.0,Acquire,7.9,22.0
Hitman: Absolution,PS3,Action,2012.0,Square Enix,59,7,83.0,30.0,Io Interactive,7.5,511.0
WWE SmackDown vs. Raw 2009,PS3,Fighting,2008.0,THQ,51,1,78.0,37.0,Yuke's,7,49.0
Batman: Arkham Origins,PS3,Action,2013.0,Warner Bros. Interactive Entertainment,107,4,76.0,46.0,WB Games Montreal,7.7,668.0
Kung Fu Rider,PS3,Action,2010.0,Sony Computer Entertainment,6,1,36.0,45.0,SCE Japan Studio,3.7,21.0
Under Night In-Birth,PS3,Fighting,2014.0,Nippon Ichi Software,6,4,nan,nan,nan,nan,nan
Resident Evil: Revelations 2,PS3,Action,2015.0,Capcom,6,16,nan,nan,Capcom,6.8,48.0
UFC 2009 Undisputed,PS3,Fighting,2009.0,THQ,107,1,84.0,58.0,THQ,8.1,47.0
LittleBigPlanet 2,PS3,Platform,2011.0,Sony Computer Entertainment,183,6,91.0,86.0,Media Molecule,8.4,657.0
Binary Domain,PS3,Action,2012.0,Sega,9,14,72.0,33.0,Sega,8.2,179.0
Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,Role-Playing,2013.0,Tecmo Koei,6,10,nan,nan,nan,nan,nan
God of War III,PS3,Action,2010.0,Sony Computer Entertainment,274,12,92.0,101.0,SCE Santa Monica,8.7,2633.0
Test Drive Unlimited 2,PS3,Racing,nan,Atari,16,1,70.0,43.0,Eden,6.1,44.0
Lollipop Chainsaw,PS3,Action,2012.0,Warner Bros. Interactive Entertainment,27,11,67.0,37.0,Grasshopper Manufacture,7.1,199.0
Portal 2,PS3,Shooter,2011.0,Valve,83,2,95.0,54.0,Valve Software,8.4,937.0
Eternal Sonata,PS3,Role-Playing,2008.0,Atari,19,7,80.0,34.0,Tri-Crescendo,7.8,117.0
Juiced 2: Hot Import Nights,PS3,Racing,2007.0,THQ,18,1,71.0,10.0,Juice Games,6.4,5.0
Kingdom Hearts,PS3,Role-Playing,2013.0,Square Enix,90,25,nan,nan,nan,nan,nan
Resident Evil: Revelations,PS3,Action,2013.0,Capcom,14,22,74.0,30.0,Capcom,7.2,204.0
WWE '12,PS3,Fighting,2011.0,THQ,53,2,72.0,28.0,Yuke's,6.9,80.0
Guilty Gear Xrd: Sign,PS3,Fighting,2014.0,Arc System Works,10,7,nan,nan,nan,nan,nan
Dragon's Dogma,PS3,Role-Playing,2012.0,Capcom,41,72,78.0,38.0,Capcom,8.3,444.0
Borderlands 2,PS3,Shooter,2012.0,Take-Two Interactive,105,10,91.0,25.0,Gearbox Software,8.2,858.0
Thief (2014),PS3,Action,2014.0,Square Enix,10,2,nan,nan,nan,nan,nan
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,2011.0,Capcom,81,11,84.0,56.0,Capcom,7.3,147.0
Sonic & All-Stars Racing Transformed,PS3,Racing,2012.0,Sega,8,1,nan,nan,nan,nan,nan
Rage,PS3,Shooter,2011.0,Bethesda Softworks,47,6,81.0,37.0,id Software,6.2,353.0
NBA 2K10,PS3,Sports,2009.0,Take-Two Interactive,75,1,83.0,30.0,Visual Concepts,7.8,39.0
Bladestorm: The Hundred Years' War,PS3,Action,2007.0,Tecmo Koei,10,14,58.0,23.0,Omega Force,7.9,28.0
Hakuoki: Stories of the Shinsengumi,PS3,Adventure,2010.0,Idea Factory,3,3,nan,nan,Design Factory,6.5,10.0
UFC Undisputed 2010,PS3,Fighting,2010.0,THQ,80,2,85.0,54.0,Yuke's,7.2,48.0
LittleBigPlanet,PS3,Platform,2008.0,Sony Computer Entertainment,280,17,95.0,85.0,"SCE/WWS, Media Molecule",6.8,5311.0
The Elder Scrolls V: Skyrim,PS3,Role-Playing,2011.0,Bethesda Softworks,254,25,92.0,16.0,Bethesda Game Studios,6.4,2527.0
Homefront,PS3,Shooter,2011.0,THQ,32,4,70.0,60.0,Kaos Studios,5.7,174.0
Yakuza 3,PS3,Action,2009.0,Sega,21,62,79.0,77.0,Ryu ga Gotoku Studios,8.1,165.0
Dynasty Warriors: Gundam 3,PS3,Action,2010.0,Tecmo Koei,11,36,58.0,18.0,"Omega Force, Koei Tecmo Games",7.5,20.0
Disgaea 3: Absence of Justice,PS3,Role-Playing,2008.0,Square Enix,33,11,78.0,51.0,Nippon Ichi Software,7.5,150.0
Warriors: Legends of Troy,PS3,Action,2011.0,Tecmo Koei,6,7,44.0,22.0,Tecmo Koei Canada,7,24.0
UFC Undisputed 3,PS3,Action,2012.0,THQ,55,3,86.0,30.0,Yuke's,7.4,92.0
EyePet,PS3,Simulation,2009.0,Sony Computer Entertainment,35,4,70.0,35.0,SCEE London Studio,8.2,20.0
Genji: Days of the Blade,PS3,Action,2006.0,Sony Computer Entertainment,18,6,55.0,46.0,Game Republic,5.8,30.0
Dragon's Crown,PS3,Role-Playing,2013.0,Nippon Ichi Software,25,17,82.0,62.0,Vanillaware,8.3,288.0
MotorStorm,PS3,Racing,2006.0,Sony Computer Entertainment,153,6,84.0,9.0,Evolution Studios,7.4,220.0
Ratchet & Clank Collection,PS3,Action,2012.0,Sony Computer Entertainment,47,2,nan,nan,nan,nan,nan
Dark Sector,PS3,Shooter,2008.0,D3Publisher,23,1,72.0,47.0,Digital Extremes,7.6,70.0
The Last of Us,PS3,Action,2013.0,Sony Computer Entertainment Europe,241,28,95.0,98.0,Naughty Dog,9.1,8003.0
Ar Nosurge: Ode to an Unborn Star,PS3,Role-Playing,2014.0,Tecmo Koei,5,6,67.0,23.0,Gust,7.8,49.0
The Witch and the Hundred Knight,PS3,Role-Playing,2013.0,Nippon Ichi Software,7,10,53.0,44.0,Nippon Ichi Software,7.5,80.0
El Shaddai: Ascension of the Metatron,PS3,Action,2011.0,Ignition Entertainment,11,8,78.0,46.0,Ignition Entertainment,7.5,40.0
L.A. Noire,PS3,Adventure,2011.0,Take-Two Interactive,127,12,89.0,78.0,Team Bondi,7.7,1010.0
Resident Evil 5,PS3,Action,2009.0,Capcom,196,108,84.0,76.0,Capcom,7.5,667.0
Turok,PS3,Action,2008.0,Touchstone,35,1,67.0,38.0,Propaganda Games,6,39.0
Brink,PS3,Shooter,2011.0,Bethesda Softworks,28,1,72.0,39.0,Splash Damage,5.8,168.0
NBA 2K11,PS3,Action,2010.0,Take-Two Interactive,141,3,89.0,46.0,Visual Concepts,7.6,105.0
Devil May Cry HD Collection,PS3,Action,2012.0,Capcom,42,11,74.0,27.0,"Capcom, Pipeworks Software, Inc.",8.8,158.0
Gran Turismo 5 Prologue,PS3,Racing,2007.0,Sony Computer Entertainment,128,56,80.0,67.0,Polyphony Digital,7.1,120.0
Dengeki Bunko Fighting Climax,PS3,Fighting,2014.0,Sega,5,9,66.0,13.0,"Sega, French-Bread",8.2,29.0
Dynasty Warriors 6,PS3,Action,2007.0,Tecmo Koei,18,41,59.0,31.0,"Koei, Omega Force",7.3,49.0
Lightning Returns: Final Fantasy XIII,PS3,Role-Playing,2013.0,Square Enix,31,45,66.0,62.0,Square Enix,5.9,552.0
Uncharted: Drake's Fortune,PS3,Action,2007.0,Sony Computer Entertainment,231,12,88.0,66.0,"Naughty Dog, SCE/WWS",8.1,2306.0
NBA 07,PS3,Sports,2006.0,Sony Computer Entertainment,24,1,63.0,24.0,SCEA,6.3,10.0
Persona 4: Arena,PS3,Fighting,2012.0,Atlus,30,24,86.0,47.0,Arc System Works,7.7,180.0
Resident Evil 6,PS3,Shooter,2012.0,Capcom,88,88,74.0,34.0,Capcom,5.4,1304.0
The LEGO Movie Videogame,PS3,Action,2014.0,Warner Bros. Interactive Entertainment,33,2,80.0,5.0,TT Games,6.8,12.0
Rune Factory: Tides of Destiny,PS3,Role-Playing,2011.0,Marvelous Interactive,14,7,55.0,12.0,Neverland,7.9,44.0
Beyond: Two Souls,PS3,Adventure,2013.0,Sony Computer Entertainment,52,6,70.0,98.0,Quantic Dream,8.1,2652.0
Wanted: Weapons of Fate,PS3,Shooter,2009.0,Warner Bros. Interactive Entertainment,14,1,61.0,56.0,GRIN,7.1,25.0
Bionic Commando,PS3,Platform,2009.0,Capcom,12,1,71.0,48.0,GRIN,7.4,62.0
LittleBigPlanet 3,PS3,Platform,2014.0,Sony Computer Entertainment,20,1,nan,nan,Sumo Digital,7.2,64.0
Disgaea D2: A Brighter Darkness,PS3,Role-Playing,2013.0,Nippon Ichi Software,9,10,74.0,37.0,Nippon Ichi Software,8.1,61.0
Red Faction: Armageddon,PS3,Shooter,2011.0,THQ,20,3,71.0,52.0,Volition Inc.,7.3,58.0
Lost Planet 2,PS3,Shooter,2010.0,Capcom,28,20,68.0,56.0,Capcom,6.9,62.0
Devil May Cry 4,PS3,Action,2008.0,Capcom,57,34,84.0,63.0,Capcom,8.2,311.0
God of War Collection,PS3,Action,2009.0,Sony Computer Entertainment,170,6,91.0,50.0,Bluepoint Games,8.7,529.0
Atelier Totori: The Adventurer of Arland,PS3,Role-Playing,2010.0,Nippon Ichi Software,12,21,74.0,19.0,Gust,6.7,109.0
Killzone: Shadow Fall,PS4,Shooter,2013.0,Sony Computer Entertainment,89,8,73.0,88.0,Guerrilla,6.8,2102.0
Minecraft,PS4,Misc,2014.0,Sony Computer Entertainment Europe,148,14,nan,nan,nan,nan,nan
Valkyria Chronicles,PS4,Role-Playing,2016.0,Sega,7,5,nan,nan,nan,nan,nan
The Elder Scrolls V: Skyrim,PS4,Role-Playing,2016.0,Bethesda Softworks,48,4,nan,nan,nan,nan,nan
Divinity: Original Sin,PS4,Role-Playing,2015.0,Focus Home Interactive,10,2,nan,nan,nan,nan,nan
Murdered: Soul Suspect,PS4,Action,2014.0,Square Enix,9,2,59.0,60.0,Airtight Games,6.9,310.0
Fallout 4,PS4,Role-Playing,2015.0,Bethesda Softworks,252,24,87.0,58.0,Bethesda Game Studios,6.5,4228.0
Dead Rising,PS4,Action,2016.0,Capcom,2,1,78.0,6.0,Capcom,6.6,30.0
BioShock The Collection,PS4,Shooter,2016.0,Take-Two Interactive,10,2,84.0,39.0,2K Games,8.5,210.0
Toukiden Kiwami,PS4,Action,2015.0,Tecmo Koei,5,2,74.0,35.0,Koei Tecmo Games,7.6,74.0
DriveClub,PS4,Racing,2014.0,Sony Computer Entertainment,36,2,71.0,85.0,Evolution Studios,6.1,1571.0
Guilty Gear Xrd: Sign,PS4,Fighting,2014.0,Arc System Works,10,4,nan,nan,nan,nan,nan
Tropico 5,PS4,Simulation,2015.0,Kalypso Media,6,6,76.0,17.0,Haemimont,7.1,110.0
Natural Doctrine,PS4,Role-Playing,2014.0,Nippon Ichi Software,5,2,53.0,31.0,Kadokawa,6,79.0
Grand Theft Auto V,PS4,Action,2014.0,Take-Two Interactive,396,38,97.0,66.0,Rockstar North,8.3,2899.0
Uncharted: The Nathan Drake Collection,PS4,Action,2015.0,Sony Computer Entertainment,206,8,86.0,78.0,Bluepoint Games,8.1,1264.0
Devil May Cry 4,PS4,Action,2015.0,Capcom,1,8,nan,nan,nan,nan,nan
The LEGO Movie Videogame,PS4,Action,2014.0,Warner Bros. Interactive Entertainment,24,1,71.0,31.0,TT Games,7.1,98.0
Dragon Quest Builders: Revive Alefgard,PS4,Role-Playing,2016.0,Square Enix,4,22,nan,nan,nan,nan,nan
Wolfenstein: The Old Blood,PS4,Action,2015.0,Bethesda Softworks,10,2,76.0,54.0,MachineGames,8,267.0
Arslan: The Warriors of Legend,PS4,Action,2015.0,Tecmo Koei,3,4,69.0,43.0,Omega Force,6.6,23.0
Dead Rising 2,PS4,Action,2016.0,Capcom,1,1,82.0,4.0,Blue Castle Games,6.6,8.0
Odin Sphere: Leifthrasir,PS4,Role-Playing,2016.0,Nippon Ichi Software,7,7,87.0,49.0,Vanillaware,8.2,178.0
Mad Max (2015),PS4,Action,2015.0,Warner Bros. Interactive Entertainment,36,4,nan,nan,nan,nan,nan
The Evil Within,PS4,Action,2014.0,Bethesda Softworks,55,11,75.0,65.0,Tango Gameworks,7.3,1223.0
Gravity Rush Remastered,PS4,Action,2015.0,Sony Computer Entertainment,2,4,80.0,62.0,Bluepoint Games,8.2,153.0
Lego Star Wars: The Force Awakens,PS4,Action,2016.0,Warner Bros. Interactive Entertainment,16,1,78.0,61.0,TT Games,7.5,91.0
Samurai Warriors 4: Empires,PS4,Action,2015.0,Tecmo Koei,2,6,71.0,29.0,Omega Force,6.5,15.0
The Walking Dead: Season One,PS4,Adventure,2014.0,Telltale Games,12,2,nan,nan,nan,nan,nan
World of Final Fantasy,PS4,Role-Playing,2016.0,Square Enix,8,8,77.0,74.0,Square Enix,8.3,222.0
Street Fighter V,PS4,Fighting,2016.0,Capcom,40,8,77.0,80.0,Capcom,3.4,1221.0
Uncharted 4: A Thief's End,PS4,Shooter,2016.0,Sony Computer Entertainment,185,19,93.0,113.0,Naughty Dog,7.9,7064.0
Romance of the Three Kingdoms 13,PS4,Action,2015.0,Tecmo Koei,2,5,nan,nan,nan,nan,nan
Battleborn,PS4,Shooter,2016.0,Take-Two Interactive,12,2,68.0,55.0,Gearbox Software,6.8,402.0
Final Fantasy XIV: A Realm Reborn,PS4,Role-Playing,2014.0,Square Enix,33,8,nan,nan,nan,nan,nan
Life is Strange,PS4,Adventure,2016.0,Square Enix,15,3,85.0,23.0,DONTNOD Entertainment,8.6,672.0
Nitroplus Blasterz: Heroines Infinite Duel,PS4,Fighting,2015.0,Marvelous Interactive,1,2,70.0,33.0,"Examu, Marvelous Inc.",6.9,28.0
Thief (2014),PS4,Action,2014.0,Square Enix,28,3,nan,nan,nan,nan,nan
Wolfenstein: The New Order,PS4,Shooter,2014.0,Bethesda Softworks,47,3,79.0,73.0,MachineGames,8.1,1116.0
inFAMOUS: Second Son,PS4,Action,2014.0,Sony Computer Entertainment,128,7,80.0,90.0,Sucker Punch,7.9,2944.0
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,Misc,2016.0,Tecmo Koei,1,5,nan,nan,nan,nan,nan
Mafia III,PS4,Action,2016.0,Take-Two Interactive,42,3,68.0,66.0,Hangar 13,5.1,1147.0
Ratchet & Clank (2016),PS4,Platform,2016.0,Sony Computer Entertainment,50,4,nan,nan,nan,nan,nan
NBA 2K16,PS4,Sports,2015.0,Take-Two Interactive,249,3,87.0,51.0,Visual Concepts,6.7,364.0
Dead or Alive 5,PS4,Fighting,2015.0,Tecmo Koei,9,8,nan,nan,nan,nan,nan
Samurai Warriors 4,PS4,Action,2014.0,Tecmo Koei,8,6,76.0,31.0,Omega Force,8.1,74.0
Warriors Orochi 3,PS4,Action,2014.0,Tecmo Koei,4,4,nan,nan,nan,nan,nan
Knack,PS4,Platform,2013.0,Sony Computer Entertainment Europe,43,42,54.0,83.0,SCE Japan Studio,6.5,1074.0
Dying Light,PS4,Action,2015.0,Warner Bros. Interactive Entertainment,96,12,74.0,58.0,Techland,7.9,1287.0
Lords of the Fallen,PS4,Role-Playing,2014.0,Square Enix,18,2,68.0,45.0,"City Interactive, Deck 13",6.6,425.0
Resident Evil: Revelations 2,PS4,Action,2015.0,Capcom,13,10,75.0,30.0,Capcom,7.7,284.0
Until Dawn,PS4,Adventure,2015.0,Sony Computer Entertainment Europe,45,5,79.0,103.0,SuperMassive Games,8.2,2161.0
Samurai Warriors 4-II,PS4,Action,2015.0,Tecmo Koei,3,6,73.0,26.0,Omega Force,7.3,24.0
RIGS: Mechanized Combat League,PS4,Action,2016.0,Sony Computer Entertainment,3,1,79.0,42.0,Guerilla Cambridge,7.9,76.0
Disgaea 5: Alliance of Vengeance,PS4,Role-Playing,2015.0,Nippon Ichi Software,11,6,80.0,43.0,Nippon Ichi Software,8.1,173.0
Hatsune Miku: Project Diva X,PS4,Misc,2016.0,Sega,2,2,78.0,22.0,Sega,7.4,41.0
NBA 2K15,PS4,Sports,2014.0,Take-Two Interactive,147,1,83.0,50.0,Visual Concepts,7,291.0
Bladestorm: Nightmare,PS4,Action,2015.0,Tecmo Koei,8,3,58.0,33.0,Omega Force,6.5,21.0
Grand Kingdom,PS4,Role-Playing,2015.0,Nippon Ichi Software,3,3,78.0,33.0,Spike Chunsoft,8.1,63.0
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Role-Playing,2015.0,Tecmo Koei,3,6,75.0,32.0,Gust,8.1,47.0
Doom (2016),PS4,Shooter,2016.0,Bethesda Softworks,54,2,nan,nan,nan,nan,nan
Akiba's Trip: Undead & Undressed,PS4,Action,2014.0,Acquire,8,1,nan,nan,nan,nan,nan
LittleBigPlanet 3,PS4,Platform,2014.0,Sony Computer Entertainment,66,1,79.0,78.0,Sumo Digital,7.1,506.0
Tomb Raider (2013),PS4,Action,2014.0,Square Enix,47,6,nan,nan,nan,nan,nan
LEGO Marvel Super Heroes,PS4,Action,2013.0,Warner Bros. Interactive Entertainment,59,1,83.0,22.0,TT Games,7.7,262.0
Star Ocean 5: Integrity and Faithlessness,PS4,Role-Playing,2016.0,Square Enix,7,15,nan,nan,nan,nan,nan
Dynasty Warriors 8: Empires,PS4,Action,2014.0,Tecmo Koei,6,3,63.0,30.0,Omega Force,7.5,42.0
God of War III,PS4,Action,2015.0,Sony Computer Entertainment,24,1,nan,nan,nan,nan,nan
Onechanbara Z2: Chaos,PS4,Action,2014.0,Nippon Ichi Software,14,4,57.0,40.0,"Tamsoft, D3Publisher",6.5,72.0
NBA 2K14,PS4,Sports,2013.0,Take-Two Interactive,89,1,85.0,20.0,Visual Concepts,6.5,368.0
Borderlands: The Handsome Collection,PS4,Shooter,2015.0,Take-Two Interactive,38,3,82.0,49.0,Gearbox Software,7.8,345.0
PlayStation VR Worlds,PS4,Misc,2016.0,Sony Computer Entertainment,6,2,59.0,48.0,Sony Interactive Entertainment,7.1,73.0
Gungnir: Mayari no Gunshin to Eiyuu Sensou,PSP,Role-Playing,2011.0,Atlus,7,4,nan,nan,nan,nan,nan
Monster Hunter Freedom,PSP,Role-Playing,2005.0,Capcom,24,103,71.0,34.0,Capcom,8.6,78.0
Shin Megami Tensei: Persona,PSP,Role-Playing,2009.0,Atlus,8,13,78.0,30.0,ITL,8,47.0
Blazing Souls: Accelate,PSP,Role-Playing,2009.0,Idea Factory,4,1,nan,nan,"Neverland, Idea Factory",7.8,17.0
The Legend of Heroes: Trails in the Sky First Chapter,PSP,Role-Playing,2006.0,Ghostlight,10,6,nan,nan,nan,nan,nan
Knights in the Nightmare,PSP,Role-Playing,2010.0,Atlus,6,2,75.0,10.0,Sting,7.7,7.0
The 3rd Birthday,PSP,Role-Playing,2010.0,Square Enix,13,27,71.0,56.0,HexaDrive,6.1,113.0
Dragon Ball Z: Shin Budokai,PSP,Fighting,2006.0,Atari,26,13,70.0,21.0,Dimps Corporation,8.1,19.0
LittleBigPlanet,PSP,Platform,2009.0,Sony Computer Entertainment,64,1,87.0,68.0,"SCE/WWS, Media Molecule",7.8,98.0
Disgaea: Afternoon of Darkness,PSP,Role-Playing,2006.0,Tecmo Koei,15,4,87.0,37.0,Nippon Ichi Software,8.2,69.0
Monster Hunter Freedom 2,PSP,Role-Playing,2007.0,Capcom,37,175,72.0,38.0,Capcom,8.7,83.0
Star Ocean: Second Evolution,PSP,Role-Playing,2008.0,Square Enix,14,16,75.0,37.0,TOSE,7.1,26.0
Monster Hunter Freedom Unite,PSP,Role-Playing,2008.0,Capcom,47,413,81.0,48.0,Capcom,8.7,124.0
Dragoneer's Aria,PSP,Role-Playing,2007.0,Tecmo Koei,2,5,56.0,30.0,Hit Maker,6,7.0
PaRappa The Rapper,PSP,Misc,2006.0,Sony Computer Entertainment,11,2,67.0,43.0,Epics,5.2,16.0
Dragon Ball Z: Shin Budokai - Another Road,PSP,Fighting,2007.0,Atari,19,8,nan,nan,nan,nan,nan
Kingdom Hearts: Birth by Sleep,PSP,Role-Playing,2010.0,Square Enix,63,75,82.0,62.0,Square Enix,8.6,208.0
Valkyria Chronicles II,PSP,Role-Playing,2010.0,Sega,12,18,83.0,54.0,Sega,8.1,67.0
Final Fantasy IV: The Complete Collection,PSP,Role-Playing,2011.0,Square Enix,13,27,77.0,41.0,Bullets,7.5,80.0
God of War: Chains of Olympus,PSP,Action,2008.0,Sony Computer Entertainment,148,4,91.0,79.0,Ready at Dawn,8.6,565.0
